case_id,expected_decision,expected_best_golden_id,expected_confidence_band
C001,auto-merge,1,1.00
C002,auto-merge,1,1.00
C003,auto-merge,1,>=0.85
C004,auto-merge,1,>=0.85
C005,manual-review,1,0.50-0.85
C006,manual-review,1,0.50-0.85
C007,new-golden-record,,<0.50
C008,auto-merge,3,1.00
C009,auto-merge,4,>=0.85
C010,auto-merge,4,>=0.85
C011,auto-merge,5,>=0.85
C012,auto-merge,5,>=0.85
C013,manual-review,5,0.50-0.85
C014,manual-review,6,0.50-0.85
C015,auto-merge,6,1.00
C016,manual-review,7,0.50-0.85
C017,auto-merge,7,>=0.85
C018,auto-merge,8,>=0.85
C019,manual-review,8,0.50-0.85
C020,new-golden-record,,<0.50
